synthetic_name,source_anchor,true_category,anchor_predicted_category,anchor_strength,perturb_radius_scaled,trust_radius_scaled,source_title,nearest_anchor,nearest_anchor_true_category,nearest_anchor_distance_scaled,nearest_real_distance_scaled,same_true_category_neighborhood,source_anchor_is_nearest,within_real_manifold_threshold,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19
2032c_perturb_011,2032c,Low-subsonic,Low-subsonic,strong,0.25856501,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.25856501,0.25856501,True,True,True,0.09960395018,0.5924801507,-0.250660438,1.100852408,-0.7831856265,1.358055207,-0.5816212612,0.7104741542,0.06682027967,0.2400255243,0.2372588728,-0.3450578587,0.8165639959,-0.8790308923,0.9993036913,-0.5306876253,0.4032846372,-0.001468399072,0.1536720773
2032c_perturb_012,2032c,Low-subsonic,Low-subsonic,strong,0.29352733,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29352733,0.29352733,True,True,True,0.09107620452,0.5869515057,-0.2208443794,1.176582988,-0.8951202932,1.353119708,-0.5621959442,0.6255321272,0.0847963829,0.2536378202,0.2105276761,-0.3419331627,0.8747483599,-0.758530979,0.9818518364,-0.5310718554,0.4372845001,0.0126540031,0.1741690305
2032c_perturb_013,2032c,Low-subsonic,Low-subsonic,strong,0.26533554,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.26533554,0.26533554,True,True,True,0.09579522796,0.5955875801,-0.260629232,1.050581889,-0.878281547,1.293063968,-0.458006841,0.662478716,0.07698212744,0.2601892471,0.2177571062,-0.343590317,0.7913916843,-0.8602697791,0.9811476988,-0.5508749725,0.4462179717,0.01225079076,0.1380543247
2032c_perturb_014,2032c,Low-subsonic,Low-subsonic,strong,0.29691143,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29691143,0.29691143,True,True,True,0.1007804655,0.5857985143,-0.2306549912,1.238140689,-0.8966908812,1.31231039,-0.4693215214,0.6750709833,0.06179447387,0.2444102441,0.2133368812,-0.3555923082,0.8807400388,-0.8921065209,1.021748825,-0.5327087339,0.4285697158,0.006468312197,0.1560622773
2032c_perturb_015,2032c,Low-subsonic,Low-subsonic,strong,0.26386778,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.26386778,0.26386778,True,True,True,0.09890573305,0.6146960602,-0.2522217016,1.063224092,-0.8270637813,1.289691791,-0.60507158,0.6533399116,0.07648890291,0.2471976928,0.241982869,-0.3431200282,0.865554843,-0.8597143244,1.018656886,-0.5345513382,0.4754980706,0.008282695657,0.1532756818
2032c_perturb_016,2032c,Low-subsonic,Low-subsonic,strong,0.28167320,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28167320,0.28167320,True,True,True,0.08986536826,0.5837455238,-0.2779323942,1.032214646,-0.8215019981,1.320389977,-0.6339564616,0.6411536287,0.07405282263,0.2613048636,0.2243831941,-0.3405929425,0.8184551823,-0.832991995,1.015055924,-0.5770977778,0.5049023525,-0.01193903395,0.1376741441
2032c_perturb_017,2032c,Low-subsonic,Low-subsonic,strong,0.29834853,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29834853,0.29834853,True,True,True,0.09848772501,0.620233259,-0.2607631533,1.068871791,-0.7953686341,1.343529893,-0.5654085362,0.6495950506,0.04914169875,0.2804412364,0.197722257,-0.3604736414,0.8426259349,-0.8685050694,0.979801638,-0.5116339234,0.4865712207,0.004349603264,0.146484399
2032c_perturb_018,2032c,Low-subsonic,Low-subsonic,strong,0.29651169,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29651169,0.29651169,True,True,True,0.117569868,0.5912466867,-0.2710694956,1.199812033,-0.7949073338,1.393417637,-0.5352731228,0.6578754876,0.06062210146,0.2485582937,0.2141376277,-0.3397500511,0.8528277659,-0.7920020857,1.107430277,-0.5279888641,0.4356856405,-0.004010136273,0.1460706229
2032c_perturb_019,2032c,Low-subsonic,Low-subsonic,strong,0.29490045,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29490045,0.29490045,True,True,True,0.09776712738,0.5996393499,-0.2262301151,1.197261989,-0.9037330886,1.429617176,-0.5772979934,0.6782266247,0.08564040466,0.2765762895,0.2211110874,-0.3475391639,0.8183081117,-0.7896861353,1.030689488,-0.5629632337,0.4898447831,0.01445008923,0.150916617
2032c_perturb_020,2032c,Low-subsonic,Low-subsonic,strong,0.29837988,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29837988,0.29837988,True,True,True,0.1179733583,0.5769542352,-0.2472164287,1.118916512,-0.919416599,1.361484222,-0.5286642778,0.6169644748,0.08933701662,0.2611437674,0.2198858257,-0.3501260417,0.8246434052,-0.836410591,1.00149103,-0.5886542036,0.4510299117,-0.01396321937,0.1481603982
2032c_perturb_021,2032c,Low-subsonic,Low-subsonic,strong,0.28617898,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28617898,0.28617898,True,True,True,0.1093409143,0.5936944093,-0.2907333904,1.058027135,-0.7799845706,1.298466515,-0.5827002524,0.6466080246,0.07170575009,0.2658290981,0.212530358,-0.3498157273,0.7628093582,-0.822910721,1.017219445,-0.5469553153,0.4670613396,-0.01906166817,0.1656295942
2032c_perturb_022,2032c,Low-subsonic,Low-subsonic,strong,0.28090211,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28090211,0.28090211,True,True,True,0.08809657115,0.5732661593,-0.2734391253,1.108496242,-0.8038622261,1.443225535,-0.6187583073,0.6898620182,0.07738597031,0.238852669,0.2184115397,-0.3326852101,0.8401604738,-0.876719072,0.9518391674,-0.5346962061,0.4644450604,-0.008683871149,0.1375194567
2032c_perturb_023,2032c,Low-subsonic,Low-subsonic,strong,0.26892616,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.26892616,0.26892616,True,True,True,0.1021648952,0.5914471765,-0.2581080519,1.076367656,-0.9368627972,1.344134188,-0.4901193632,0.6815958733,0.05987264773,0.2526569298,0.1974123338,-0.3365156153,0.8920721826,-0.8121918141,0.9478406163,-0.5281282032,0.4342512534,-0.02085045872,0.1412680964
2032c_perturb_024,2032c,Low-subsonic,Low-subsonic,strong,0.27525806,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.27525806,0.27525806,True,True,True,0.1043210044,0.591029821,-0.2690364264,1.213148522,-0.8304226063,1.276595334,-0.5896601903,0.6783280129,0.08341648081,0.2588068209,0.205209904,-0.3316976642,0.8149201228,-0.8693537992,0.9643827056,-0.5692546445,0.4205967212,-0.006161328914,0.1569326389
2032c_perturb_025,2032c,Low-subsonic,Low-subsonic,strong,0.29807991,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29807991,0.29807991,True,True,True,0.1053314376,0.5976288964,-0.2470076955,1.13778061,-0.8284018159,1.323419924,-0.6847784128,0.6688472184,0.06818262751,0.2651777858,0.2134176034,-0.3276446506,0.7971601464,-0.7839888231,0.9346574823,-0.5054769112,0.4159241378,0.002651779037,0.1670335219
2032c_perturb_026,2032c,Low-subsonic,Low-subsonic,strong,0.29747404,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29747404,0.29747404,True,True,True,0.08960571353,0.593762306,-0.2409824396,1.098606563,-0.865442544,1.434072932,-0.6159246605,0.5951678477,0.08092512683,0.237287033,0.2098042068,-0.3484480022,0.908223034,-0.8479626242,1.052094867,-0.4907628126,0.4352951172,-0.007930747825,0.1617941106
2032c_perturb_027,2032c,Low-subsonic,Low-subsonic,strong,0.28414589,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28414589,0.28414589,True,True,True,0.1011015955,0.5874318122,-0.2277921894,1.130647889,-0.7940717125,1.274902857,-0.6006788561,0.6595343071,0.05486791661,0.2392301626,0.1898271999,-0.3308808613,0.8734706362,-0.8034476197,1.041041006,-0.49539476,0.4340172571,0.006691938888,0.1360306194
2032c_perturb_028,2032c,Low-subsonic,Low-subsonic,strong,0.29388541,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29388541,0.29388541,True,True,True,0.112799509,0.6078954148,-0.2774492485,1.135761703,-0.9167615924,1.332723863,-0.5285477929,0.6631800311,0.06082031504,0.2620160105,0.2466214975,-0.3321489466,0.8384983315,-0.8444842821,1.029334665,-0.4936398913,0.4579409822,-0.003267075848,0.1526113311
2032c_perturb_029,2032c,Low-subsonic,Low-subsonic,strong,0.27024934,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.27024934,0.27024934,True,True,True,0.09859398389,0.5880615161,-0.243288829,1.181769435,-0.8409720363,1.29981818,-0.5451053733,0.5854017118,0.06941253446,0.2531207343,0.2185016612,-0.3554154124,0.8605177154,-0.8975999128,1.052321426,-0.5186594595,0.4113820877,-0.01827237411,0.1419594493
2032c_perturb_030,2032c,Low-subsonic,Low-subsonic,strong,0.29813899,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29813899,0.29813899,True,True,True,0.1064781151,0.6003595898,-0.2486383767,1.093192484,-0.7754141725,1.273604458,-0.5278648273,0.6939551476,0.03875269421,0.2502539502,0.2104706382,-0.3521291339,0.8267333317,-0.8328768907,0.8991779804,-0.4893574711,0.475589332,0.003766104221,0.1628872401
2032c_perturb_031,2032c,Low-subsonic,Low-subsonic,strong,0.29109550,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29109550,0.29109550,True,True,True,0.1005455295,0.5726653924,-0.2351084282,1.039412083,-0.7491830071,1.388464106,-0.53824267,0.6051747547,0.06771777241,0.2570687104,0.2252889647,-0.3596118174,0.8285470757,-0.7677321792,1.065538492,-0.5524091728,0.4455488793,-0.02405446017,0.1577734453
2032c_perturb_032,2032c,Low-subsonic,Low-subsonic,strong,0.29619719,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29619719,0.29619719,True,True,True,0.09749815056,0.5930772971,-0.2621896587,1.174520184,-0.8210518602,1.327252961,-0.5955572196,0.6652015506,0.1107059927,0.239877025,0.227665813,-0.34250217,0.7623589954,-0.8283885392,1.023194875,-0.5144013064,0.4260874197,-0.007251317599,0.1480607454
2032c_perturb_033,2032c,Low-subsonic,Low-subsonic,strong,0.28709218,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28709218,0.28709218,True,True,True,0.09775640563,0.5955520103,-0.2307074199,1.047773053,-0.9000678287,1.260115876,-0.5171194456,0.6241022335,0.05208224471,0.2529304591,0.213607969,-0.353116226,0.8851401599,-0.9318291603,0.9796609563,-0.5340074174,0.4560549109,-0.01979069282,0.1427149493
2032c_perturb_034,2032c,Low-subsonic,Low-subsonic,strong,0.29332532,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29332532,0.29332532,True,True,True,0.1020793479,0.5802443221,-0.2615068842,1.142175712,-0.9259668604,1.347213814,-0.4647384326,0.6679613152,0.04561361195,0.2400051069,0.2228724392,-0.3554129713,0.824092228,-0.7551701936,1.022406421,-0.5509530513,0.4010607806,0.004074293151,0.1490610165
2032c_perturb_035,2032c,Low-subsonic,Low-subsonic,strong,0.29430659,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29430659,0.29430659,True,True,True,0.09619691377,0.5694498957,-0.2308301625,1.124530005,-0.7536242486,1.403551352,-0.5647338557,0.6784434773,0.08989821346,0.2821676215,0.2216473288,-0.3601199841,0.7796580185,-0.8388051648,1.003229011,-0.4846262967,0.4602047342,-0.01767068045,0.1563249804
2032c_perturb_036,2032c,Low-subsonic,Low-subsonic,strong,0.28698909,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28698909,0.28698909,True,True,True,0.105791933,0.5981386468,-0.2200580006,1.115540171,-0.8370483662,1.296070793,-0.5070837294,0.6361475715,0.06682142291,0.248523754,0.2504112872,-0.3636690589,0.8881721494,-0.8173661533,1.052576568,-0.5426231642,0.4695463769,-0.006715793484,0.1547155641
2032c_perturb_037,2032c,Low-subsonic,Low-subsonic,strong,0.28365200,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28365200,0.28365200,True,True,True,0.09551957104,0.5971900721,-0.2392026152,1.151479364,-0.7002622999,1.378035167,-0.5073030885,0.6691255768,0.04990842476,0.2527540512,0.219075598,-0.3626460091,0.836243073,-0.82417417,1.069874803,-0.5732277463,0.4895303557,-0.01240755016,0.1411745765
2032c_perturb_038,2032c,Low-subsonic,Low-subsonic,strong,0.25435305,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.25435305,0.25435305,True,True,True,0.09276607958,0.5894424522,-0.2859235556,1.0830019,-0.7796867468,1.377539395,-0.5708323372,0.6305855456,0.07592894223,0.2477424134,0.2139587258,-0.3427376029,0.9236220603,-0.8219247236,0.9914094571,-0.5306649989,0.4865530355,-0.01533529179,0.1478550288
2032c_perturb_039,2032c,Low-subsonic,Low-subsonic,strong,0.26745843,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.26745843,0.26745843,True,True,True,0.09357477954,0.5840991064,-0.265672435,1.164375001,-0.8555174845,1.299345976,-0.6347142105,0.697234823,0.0850160432,0.2559523418,0.2306528157,-0.3722130257,0.8363480489,-0.8910625792,0.9992368302,-0.4952327294,0.4492378593,0.003296644575,0.1451148226
2032c_perturb_040,2032c,Low-subsonic,Low-subsonic,strong,0.28311810,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28311810,0.28311810,True,True,True,0.09407830102,0.6143686694,-0.2674806354,1.144972851,-0.8073459824,1.365158728,-0.6208406719,0.6960456005,0.05990944495,0.2607899215,0.2349828819,-0.3344260958,0.8428422646,-0.7642385731,0.9382713711,-0.5432109567,0.4418027726,0.003042015124,0.153792176
ag03_perturb_001,ag03,Low-subsonic,Supersonic,strong,0.28674476,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.28674476,0.28674476,True,True,True,0.09800652348,0.3236947865,-0.4008516966,1.124439391,-1.237878718,1.485672959,-0.9415831677,0.7252819855,-0.1091051951,0.1480227172,0.08547022714,-0.3947404764,0.7487502647,-0.9940016869,1.072220746,-0.7662612554,0.4644150294,-0.1710559241,0.03965952228
ag03_perturb_002,ag03,Low-subsonic,Supersonic,strong,0.26951490,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.26951490,0.26951490,True,True,True,0.1059424512,0.3240591499,-0.3794220793,1.091148292,-1.186011764,1.534833026,-0.974661215,0.7172305036,-0.1194359908,0.1599521196,0.08144416729,-0.3669631899,0.6279807597,-1.030936226,1.076691651,-0.7651301678,0.365931092,-0.1617977227,0.005018083157
ag03_perturb_003,ag03,Low-subsonic,Supersonic,strong,0.23189690,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.23189690,0.23189690,True,True,True,0.09400628737,0.3306202437,-0.3756726888,1.082340534,-1.161197527,1.467273642,-0.9295516022,0.6568937292,-0.1052804036,0.1358569585,0.08775471632,-0.3889387494,0.6793532418,-1.03691736,0.957105427,-0.7708674161,0.4090160906,-0.178772885,-0.001380889934
ag03_perturb_004,ag03,Low-subsonic,Supersonic,strong,0.27891836,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.27891836,0.27891836,True,True,True,0.1084902391,0.3404781601,-0.3921587528,1.168284586,-1.261223871,1.404289532,-0.8867408143,0.6863986698,-0.1129181837,0.1554348113,0.08903722735,-0.3925412233,0.6364859339,-0.9895067132,0.9429147671,-0.7961163179,0.4406409658,-0.1725171689,0.02037484448
ag03_perturb_005,ag03,Low-subsonic,Supersonic,strong,0.28335338,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.28335338,0.28335338,True,True,True,0.09957003697,0.3229350112,-0.4151051245,1.062158054,-1.248891893,1.482646084,-0.8252562463,0.7285290623,-0.1301823574,0.1530261147,0.09110543031,-0.3980677533,0.6655673807,-1.03742744,0.992108899,-0.7834282678,0.3959810273,-0.1711987597,0.01360861002
ag03_perturb_006,ag03,Low-subsonic,Supersonic,strong,0.29142932,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.29142932,0.29142932,True,True,True,0.08737660213,0.3252025531,-0.3820187171,1.124301624,-1.205652398,1.509023405,-0.8863580137,0.65169346,-0.1294461718,0.1349512335,0.1097263167,-0.3779048461,0.6989546949,-1.053429063,0.9660807831,-0.83648849,0.4445712589,-0.1848687513,0.02371223578
ag03_perturb_007,ag03,Low-subsonic,Supersonic,strong,0.29796961,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.29796961,0.29796961,True,True,True,0.1034753379,0.3174466938,-0.3633454252,1.215655031,-1.212605377,1.598365448,-0.8935573187,0.6927992033,-0.1270252712,0.1426286827,0.08509520426,-0.3579471647,0.6637282789,-1.043806648,1.064965943,-0.8081413118,0.3759213508,-0.1607578417,0.01130848484
ag03_perturb_008,ag03,Low-subsonic,Supersonic,strong,0.26255694,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.26255694,0.26255694,True,True,True,0.09744395598,0.3494339737,-0.3764647151,1.15023872,-1.20635048,1.539259521,-0.9210059964,0.6607755596,-0.08346657081,0.1730717133,0.06780987188,-0.3616781807,0.7105545353,-1.018385833,1.008098445,-0.7768193914,0.3867984121,-0.1742385404,0.01483642578
ag03_perturb_009,ag03,Low-subsonic,Supersonic,strong,0.28312736,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.28312736,0.28312736,True,True,True,0.09504642637,0.3380161984,-0.3620148036,1.110540654,-1.261179412,1.608863899,-0.9913744698,0.7285073494,-0.1040957922,0.1524559656,0.09134381854,-0.402716847,0.6546212453,-0.9917473619,1.03700706,-0.7996332464,0.3660121709,-0.1796937081,-0.006817187615
ag03_perturb_010,ag03,Low-subsonic,Supersonic,strong,0.26586081,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.26586081,0.26586081,True,True,True,0.1025922998,0.3337833216,-0.3400916035,1.05751827,-1.214114539,1.526577407,-0.8769972923,0.6899195002,-0.09787754231,0.1506427893,0.07936100997,-0.3762263322,0.6731983504,-0.9899800728,1.003224737,-0.8433673716,0.4636350975,-0.1869404288,0.01228929557
ag03_perturb_011,ag03,Low-subsonic,Supersonic,strong,0.27135055,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.27135055,0.27135055,True,True,True,0.08595912323,0.3366375037,-0.3713087233,1.114268805,-1.281429788,1.441381004,-0.8675400307,0.6864250934,-0.09708676763,0.161758274,0.09344697224,-0.3592858443,0.7106858516,-0.9931325644,1.017252497,-0.736059366,0.3764945049,-0.180907752,0.01973108961
ag03_perturb_012,ag03,Low-subsonic,Supersonic,strong,0.25385810,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.25385810,0.25385810,True,True,True,0.09875297596,0.3149723459,-0.3703222971,1.023226742,-1.341886532,1.583394673,-0.9789041712,0.6878834278,-0.1160394043,0.1578340247,0.07477022087,-0.369975585,0.6506930809,-1.01993266,0.996288606,-0.8090737836,0.4021186711,-0.1681934793,0.005071717253
ag03_perturb_013,ag03,Low-subsonic,Supersonic,strong,0.29265075,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.29265075,0.29265075,True,True,True,0.08970429508,0.3090215921,-0.3826174212,1.134253671,-1.23260114,1.431096267,-0.9527637894,0.6888120181,-0.1113350163,0.142113952,0.0857263973,-0.3639597544,0.7139871481,-0.9845511886,0.9762907383,-0.8676014623,0.4046126177,-0.1962299875,0.01816545523
ag03_perturb_014,ag03,Low-subsonic,Supersonic,strong,0.29491645,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.29491645,0.29491645,True,True,True,0.09132764203,0.3255362696,-0.367960474,1.104969482,-1.180473319,1.56359794,-0.91412124,0.6652705884,-0.08932168271,0.1854208591,0.110778461,-0.4105676183,0.700230979,-1.059666353,0.9936570465,-0.7960350592,0.3979784652,-0.1734429732,0.01211275914
ag03_perturb_015,ag03,Low-subsonic,Supersonic,strong,0.28439845,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.28439845,0.28439845,True,True,True,0.100950966,0.3238496458,-0.3506710534,1.142290957,-1.268305422,1.48958985,-0.9925283305,0.6976161178,-0.09835147788,0.1671255947,0.1089201632,-0.3901201182,0.6927674848,-0.976393148,0.9435655825,-0.8345665661,0.4249924192,-0.1692190997,0.00150978578
ag03_perturb_016,ag03,Low-subsonic,Supersonic,strong,0.29083660,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.29083660,0.29083660,True,True,True,0.09848126608,0.3222961012,-0.3737417367,1.084943487,-1.182872212,1.567369826,-1.002598473,0.6726311664,-0.1190507331,0.1338105815,0.08157686368,-0.3871202486,0.6841380592,-0.9363852949,1.055461664,-0.79603068,0.3576107858,-0.1877198784,0.003396758092
ag03_perturb_017,ag03,Low-subsonic,Supersonic,strong,0.22844737,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.22844737,0.22844737,True,True,True,0.09824378767,0.3088634018,-0.3764714712,1.117121372,-1.220886943,1.485867089,-0.9360894305,0.6690383601,-0.1009079083,0.1646765169,0.07330587217,-0.3894496938,0.7317345976,-1.085139244,1.024545818,-0.8074269305,0.4087213257,-0.1764168232,0.03575654786
ag03_perturb_018,ag03,Low-subsonic,Supersonic,strong,0.27944543,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.27944543,0.27944543,True,True,True,0.09328028076,0.3311926204,-0.3585509062,1.041174442,-1.209107706,1.540053655,-0.9365482991,0.7434814726,-0.1231475408,0.1423119057,0.08253110504,-0.3731868978,0.6193792575,-0.99178813,0.9278782507,-0.7508112841,0.425413884,-0.1705042894,0.03335921834
ag03_perturb_019,ag03,Low-subsonic,Supersonic,strong,0.27456880,0.29881932,UIUC Airfoil Coordinates Database,ag03,Low-subsonic,0.27456880,0.27456880,True,True,True,0.09522938659,0.3302026787,-0.3747501437,1.034381559,-1.236791654,1.552225845,-0.9298744934,0.7039293816,-0.1148081354,0.1514165183,0.08746751746,-0.3779129706,0.6859652345,-0.8831409169,0.9865888106,-0.8352241488,0.3921396101,-0.1874137672,0.02393494214
