name,category,Ma=2.0 阻力系数,Ma=2.0 升力系数,Ma=1.5 阻力系数,Ma=1.5 升力系数,Ma=0.734 阻力系数,Ma=0.734 新阻力系数,Ma=0.734 升力系数,Ma=0.25 阻力系数,Ma=0.25 升力系数,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19,Ma=0.734，α=2.832，Re=6.5E+6
ag14,,0.048566707,0.08614891,0.05536114,0.157554036,0.031189776,0.035530157,0.90874909,0.008129344,0.584601584,0.091101561,0.280995985,-0.270791502,0.855998706,-0.904587271,1.125012156,-0.648609843,0.49739409,-0.052111597,0.139870571,0.070072222,-0.303139351,0.539594397,-0.759499271,0.792800249,-0.559135853,0.333229445,-0.079427479,0.061661424,
ag16,,0.057641618,0.08618788,0.065332651,0.155797336,0.032328825,0.035770363,0.890557993,0.008346763,0.57242221,0.096833955,0.279480435,-0.20437135,0.766708518,-0.735289251,0.994786946,-0.530384606,0.463169889,-0.021207624,0.139156658,-0.023243506,-0.204039503,0.258764638,-0.451527465,0.42789375,-0.329227159,0.191047265,-0.04452391,0.046014963,
ag17,,0.054230975,0.085017107,0.061465671,0.155930401,0.032051426,0.035909519,0.912377568,0.008282993,0.584317246,0.094733493,0.285650177,-0.241170246,0.828121604,-0.836821836,1.094045073,-0.607977633,0.499757979,-0.038408424,0.14214933,0.015433897,-0.247567709,0.373834029,-0.578029484,0.578112746,-0.422700809,0.252798523,-0.058976601,0.053327403,
ag18,,0.051763759,0.084662933,0.058524819,0.156536661,0.031858435,0.036176957,0.933728018,0.008222502,0.595910584,0.092824522,0.290789597,-0.274917301,0.883378763,-0.929631127,1.184297983,-0.67884345,0.532757572,-0.054335764,0.144900446,0.053244982,-0.28812903,0.482798414,-0.695877472,0.719544956,-0.509681819,0.31115376,-0.072177857,0.060354189,
ag19,,0.049984014,0.084640604,0.056989019,0.157286606,0.031851011,0.036428881,0.948709664,0.008180796,0.604454795,0.091657393,0.29367568,-0.296469903,0.917979703,-0.988840213,1.241526014,-0.723944582,0.553397387,-0.064558467,0.146599229,0.081045718,-0.324751829,0.589098888,-0.821915216,0.859373569,-0.59813273,0.365588435,-0.086104927,0.066317591,
ag24,,0.068279586,0.077233757,0.076949373,0.150291933,0.040028653,0.042882724,0.952600006,0.008690887,0.636017205,0.103723402,0.321671022,-0.221075358,0.870611418,-0.793550946,1.098746295,-0.521321709,0.498628851,0.031051861,0.158671209,-0.006339384,-0.265381122,0.347670141,-0.60167891,0.546606728,-0.437923904,0.213322684,-0.05608417,0.070668225,
ag25,,0.063682002,0.076961394,0.071845266,0.151087498,0.03960975,0.043307452,0.988612532,0.008594653,0.650394895,0.0999901,3.27E-01,-0.261763981,0.932879347,-0.904403726,1.205424884,-0.619456902,0.544465399,0.000833326,0.164568645,0.026345525,-0.294231651,0.445282435,-0.69437665,0.676383261,-0.504444965,0.27760856,-0.063035186,0.07738333,
ag26,,0.1,0.12,0.067931857,0.152419174,0.038175644,0.042513312,1.003831663,0.008492167,0.652429576,0.099632175,0.325013194,-0.289171317,0.970594557,-0.978661274,1.279065723,-0.697543739,0.580382815,-0.029755747,0.165430504,0.058770859,-0.324978181,0.539389021,-0.787159212,0.802082031,-0.574692204,0.338530082,-0.076810136,0.077106365,
ag27,,0.057447842,0.079596258,0.064966019,0.154884432,0.036949792,0.041638968,1.015151183,0.008395429,0.653834178,0.099024132,0.325766346,-0.329895077,1.034914182,-1.084153787,1.36984227,-0.779152691,0.616207589,-0.05609525,0.165078109,0.089472504,-0.359436236,0.644927771,-0.891962519,0.939938288,-0.653329462,0.403680504,-0.096147311,0.077600083,
ag35,,0.072625366,0.073715943,0.080267289,0.145449872,0.038145454,0.040283249,0.839138878,0.008713643,0.573774479,0.121240805,0.309423635,-0.132024876,0.678743647,-0.397029914,0.597734033,-0.088632152,0.267356213,0.106990608,0.145655807,0.037856778,-0.329640082,0.456492198,-0.716591288,0.638580301,-0.533145134,0.234549932,-0.129338039,-0.004703082,
ag36,,0.066783631,0.076349682,0.074449082,0.145673975,0.034908709,0.037136211,0.836611114,0.008583664,0.561706866,0.116143,0.273508065,-0.065648584,0.514614769,-0.187639743,0.352040359,0.094863458,0.12928628,0.160838461,0.134423003,0.034904637,-0.293884087,0.392003952,-0.613643001,0.536021625,-0.450110049,0.192957152,-0.110428523,-0.006625928,
ag37,,0.064029061,0.077609095,0.07098459,0.148083113,0.033808249,0.03720035,0.850552558,0.008534348,0.567610438,0.119151387,0.275534455,-0.115434635,0.631971548,-0.415015783,0.588729753,-0.09244724,0.196817332,0.150758796,0.142491511,0.091479017,-0.430086875,0.680753837,-1.015444886,0.960094463,-0.763370254,0.367583175,-0.171724858,0.011812214,
ag38,,0.058112062,0.080895235,0.064594192,0.150589053,0.029095354,0.032890515,0.85689006,0.0084206,0.56334835,0.116184071,0.259840674,-0.143829073,0.653837502,-0.48144981,0.651022485,-0.165699193,0.225616075,0.146016702,0.139268671,0.119503842,-0.474264067,0.784847109,-1.150487417,1.108488039,-0.867339864,0.429530588,-0.189943726,0.020412548,
ag44ct02r,,0.061222689,0.080202125,0.067602966,0.154103541,0.033479566,0.037727761,0.823642505,0.008401756,0.539059056,0.104608172,0.331451489,-0.304598683,1.020508488,-1.126530479,1.464798303,-0.895286417,0.623141565,-0.070617207,0.150983951,0.052700512,-0.35605219,0.569224042,-0.890950231,0.85316783,-0.684641343,0.343992478,-0.149255188,0.021147522,
ag455ct02r,,0.05522942,0.083532075,0.061120462,0.156274088,0.031178447,0.035682824,0.806935777,0.008223364,0.525609884,0.101615751,0.311942448,-0.31618728,1.012035115,-1.150368544,1.453539878,-0.92297731,0.609844212,-0.090425958,0.133635417,0.070957451,-0.368866365,0.613107189,-0.918087691,0.886374665,-0.691400259,0.343859179,-0.137563106,0.039177857,
ag45c03,,0.05964156,0.080638048,0.065799376,0.154954412,0.034699016,0.039152572,0.807051503,0.008288106,0.531979407,0.103998975,0.33757347,-0.347680281,1.124665963,-1.301648428,1.645804052,-1.068672406,0.670404542,-0.111216383,0.129006704,0.070026115,-0.37871269,0.640369085,-0.964785622,0.933207911,-0.724299923,0.362403521,-0.142907562,0.043369083,
ag45ct02r,,0.057691374,0.082329115,0.06388338,0.155104243,0.031505451,0.035751464,0.801231532,0.008281928,0.521349539,0.102670128,0.315935135,-0.299996966,1.000090652,-1.118964278,1.43495408,-0.891688451,0.599398887,-0.081415495,0.134121814,0.058378832,-0.355835998,0.574479369,-0.881669083,0.837409301,-0.659479544,0.329482286,-0.138994076,0.023899864,
ag46c03,,0.051231848,0.08627765,0.056967274,0.157160192,0.027398292,0.031535602,0.778800778,0.008102881,0.500029456,0.098976126,0.292622405,-0.320779509,1.01675296,-1.203920871,1.522065842,-0.99261707,0.615968108,-0.101674968,0.113562247,0.070754771,-0.353284,0.598926529,-0.90483521,0.87523173,-0.682721339,0.336484533,-0.13570862,0.035455529,
ag46ct02r,,0.051346851,0.086347685,0.05709978,0.15716506,0.027993984,0.032093001,0.78761839,0.008143022,0.510622334,0.099193168,0.289177314,-0.30225767,0.959358045,-1.0891739,1.373277958,-0.879825483,0.582419806,-0.086644451,0.129636854,0.06950833,-0.358602366,0.595947535,-0.889196447,0.854903406,-0.666917235,0.328254319,-0.132818133,0.034878935,
ag47c03,,0.042659517,0.093275388,0.047835006,0.160099312,0.022018135,0.024803244,0.718818171,0.007891482,0.46103021,0.095103182,0.228788232,-0.261614154,0.854041557,-1.039675154,1.322104245,-0.879561508,0.52758528,-0.090531695,0.091353964,0.075818736,-0.338928112,0.565543668,-0.845215321,0.824871961,-0.648227366,0.334059351,-0.139480256,0.032199326,
ag47ct02r,,0.042478286,0.093459993,0.047558889,0.160388557,0.023067924,0.025740839,0.726645238,0.007915057,0.469523652,0.095213195,0.227343364,-0.250511048,0.803335116,-0.94671473,1.196963462,-0.778924761,0.498494728,-0.080092272,0.104468271,0.07647668,-0.340822977,0.569344367,-0.850508835,0.830225569,-0.652052986,0.336074516,-0.14021427,0.032455509,
ah21-7,,0.1,0.12,0.078746736,0.138856438,0.028528523,0.030862019,1.018940114,0.009260519,0.700904097,0.126946317,0.241739356,-0.098872406,0.65931607,-0.516066214,0.884073599,-0.315894949,0.489047257,0.153340391,0.310588101,0.036004306,-0.374182861,0.512661256,-0.874408097,0.791006633,-0.710617467,0.346956855,-0.209308138,0.103987345,
ah21-9,,0.1,0.12,0.058566309,0.14924389,0.020226019,0.022164868,0.964804738,0.00868001,0.624320787,0.099201761,0.19063176,-0.083777319,0.52886052,-0.423822006,0.712224155,-0.263607577,0.390958725,0.116067122,0.243172779,0.031905644,-0.30303668,0.423229062,-0.715269726,0.651821009,-0.580430826,0.284991422,-0.168525416,0.082479154,
ah63k127,,0.1,0.12,0.117584931,0.11312998,0.050106088,0.052883622,0.632233544,0.010073878,0.804824482,0.110017354,0.399635855,-0.26072718,1.09225579,-0.614790672,0.787859138,0.376372569,0.025976402,0.243302621,0.278293134,0.057397669,-0.443782166,0.689265191,-1.133092104,0.995541729,-0.818382506,0.253603215,-0.090593331,0.1106295,
ah6407,,0.093627913,0.055734245,0.111745446,0.152963577,0.065820425,0.065310337,1.1048248,0.009560163,0.997251305,0.109379496,0.388736555,-0.174412515,0.935317407,-0.803116719,1.27300548,-0.551191326,0.663119163,0.091447424,0.294983152,0.149572507,-0.325547761,0.732602344,-0.785627157,0.896172326,-0.440766221,0.389140304,0.02923044,0.15725517,
ah79100a,,0.1,0.12,0.101672824,0.137460299,0.051603483,0.052246578,0.969230999,0.009425042,0.82540169,0.127425091,0.307064414,-0.070365233,0.698479224,-0.420444462,0.825768166,-0.214593223,0.466278901,0.12004933,0.241496864,0.005948481,-0.277713913,0.317609822,-0.525135789,0.472933003,-0.278247522,0.186768258,0.059469925,0.09946657,
ah79100c,,0.1,0.12,0.147875852,0.11355743,0.07449777,0.076618522,0.929319361,0.011768919,1.24835602,0.135739651,0.427349266,-0.128057996,0.961241929,-0.53925811,1.073276438,-0.081596433,0.499033299,0.365316563,0.513561471,0.143927367,-0.388890505,0.75168213,-0.915186543,1.045417901,-0.657438888,0.537360926,-0.044440254,0.308321687,
ah79k132,,0.1,0.12,0.127277889,0.11409487,0.048652135,0.050587282,0.572333884,0.010143183,0.731585529,0.119934978,0.386908445,-0.064315029,0.698159933,-0.036317585,0.214982421,0.734666465,-0.06771414,0.185723399,0.288578151,-0.025309648,-0.154998657,0.025983765,-0.107748887,-0.188530328,0.124905237,-0.312935753,-0.013503244,0.053925243,
ah79k135,,0.1,0.12,0.124801992,0.123468934,0.044434945,0.046117116,0.573195233,0.009969438,0.674140823,0.119658172,0.361754115,-0.046520458,0.644452538,-0.020129811,0.208358468,0.680359528,-0.043396487,0.174419486,0.266070244,-0.021776395,-0.271307954,0.226436738,-0.492505913,0.225991697,-0.270049296,-0.098318099,-0.109132764,0.051245091,
ah79k143,,0.1,0.12,0.13298656,0.116375029,0.042788627,0.044672402,0.510034332,0.010295086,0.657368377,0.137172835,0.266118952,0.203825455,0.130668914,0.779216428,-0.639913727,1.288599578,-0.208227853,0.104998709,0.349877396,-0.034354715,-0.254573933,0.123507836,-0.298954953,-0.125646054,0.0680068,-0.388235911,-0.084501145,0.076336681,
ah80129,,0.102981246,0.036438079,0.12247062,0.105608789,0.042836738,0.04542104,0.468346477,0.009937435,0.652763565,0.096814303,0.404396308,-0.204613198,1.081390615,-0.778565624,1.332579439,-0.415986211,0.703606269,-0.00485124,0.182330855,-0.002208881,-0.212643427,0.204438114,-0.38256027,0.191605251,-0.170170386,-0.11499896,-0.005674093,-0.118772984,
ah80136,,0.1,0.12,0.12989419,0.123011908,0.04733907,0.04923651,0.336213838,0.00946334,0.469984543,0.12938495,0.406151281,-0.121504548,0.975391856,-0.728517935,1.416594634,-0.755979015,0.636089318,-0.133026806,0.003886445,0.066155378,-0.49715207,0.719887402,-1.225418356,1.054943749,-0.908828565,0.33137613,-0.254159705,-0.064693655,
ah80140,,0.1,0.12,0.147974693,0.114349671,0.05882403,0.06115463,0.357294856,0.010177805,0.676104913,0.197320515,0.387015657,0.059313184,0.698715783,-0.180494451,0.823319271,-0.384698884,0.590674617,-0.091172554,0.248203133,0.13824595,-0.595059288,0.854707175,-1.242960274,1.03632697,-0.784611449,0.264652161,-0.115173639,-0.034523929,
ah81131,,0.099063338,0.056189313,0.117807747,0.13072436,0.031898699,0.034236152,0.421491601,0.009506925,0.412982829,0.108505623,0.392429521,-0.263027655,1.129458766,-0.877112633,1.21594735,-0.16984348,0.363972951,0.033505622,-0.044380578,0.05422371,-0.474055462,0.638647047,-1.111391484,0.908254752,-0.855129728,0.281087653,-0.280778475,-0.172261789,
ah81k144,,0.1,0.12,0.143111743,0.096476009,0.04970786,0.052113032,0.459939619,0.01053063,0.760282574,0.131727124,0.374029756,-0.069554803,0.903127705,-0.463135877,0.946664897,0.150255262,0.281719561,0.165353862,0.253426461,-0.010213909,-0.301668633,0.327835117,-0.592247189,0.332222306,-0.221834078,-0.187349053,0.070249107,-0.015459423,
ah82150a,,0.1,0.12,0.143980202,0.113337245,0.052992972,0.054115822,0.551107084,0.010535021,0.81164252,0.125740896,0.358135668,-0.02665703,0.813753596,-0.476519282,1.118336523,-0.276845725,0.640927667,0.07983613,0.315023141,-0.058927778,-0.193474624,0.072710931,-0.412136789,0.326696038,-0.671360761,0.281605269,-0.166242776,0.152213618,
ah82150f,,0.1,0.12,0.144917907,0.101807904,0.045403359,0.046012908,0.49044431,0.010758008,0.7510934,0.11413402,0.355380872,0.01620434,0.633460228,-0.021366854,0.421805744,0.444521638,0.3509177,0.244320601,0.258253634,-0.053761044,-0.171128368,0.00827333,-0.180003575,-0.146109075,0.086872486,-0.429422463,-0.005252193,0.044770693,
ah83150q,,0.1,0.12,0.150216591,0.127841538,0.056191666,0.061484264,0.447592825,0.010575934,0.772702144,0.149834677,0.594573142,-0.605968643,2.05985421,-2.201403564,2.969924823,-1.646673676,1.229794765,-0.137425818,0.224837408,0.204619672,-0.893834458,1.519569235,-2.353054356,2.189150191,-1.689221482,0.509316185,-0.17473507,0.097172443,
ah83159,,0.1,0.12,0.156506362,0.11508819,0.053278638,0.055880421,0.423389094,0.010896449,0.787745921,0.12932462,0.484471224,-0.320805581,1.476494162,-1.394951412,2.209070966,-1.125688081,1.191502951,-0.174574485,0.322400584,0.038639376,-0.474291226,0.618269271,-1.084497093,0.774453299,-0.590921139,-0.164857752,0.081104714,0.063671448,
ah88k130,,0.1,0.12,0.121294027,0.106387771,0.049958896,0.051314682,0.677783287,0.010465795,0.888323884,0.107012949,0.367648274,-0.143483994,0.900832719,-0.528067796,1.060851369,-0.225561628,0.73252603,0.026460863,0.35828232,0.065380258,-0.434265778,0.666386933,-1.124173964,1.009633324,-0.850031564,0.272012344,-0.11803806,0.180531727,
ah88k136,,0.1,0.12,0.12780906,0.116391532,0.033101771,0.034895045,0.451033787,0.010212148,0.517493838,0.129693042,0.283637383,0.189500105,0.114383961,0.788461964,-0.623797183,1.168958465,0.020288716,-0.094900572,0.308574841,-0.025457574,-0.213774858,0.138068279,-0.385074718,0.148925228,-0.30618886,0.003559331,-0.325100247,-0.09798344,
ah93156,,0.1,0.12,0.156907757,0.108663002,0.049710757,0.052039265,0.402880497,0.010786352,0.730182957,0.149547819,0.42883045,-0.116328692,1.03863786,-0.699253764,1.336597209,-0.352607714,0.711992222,0.032084841,0.287037667,-0.03729585,-0.227363316,0.048324138,-0.148486571,-0.294940574,0.276604567,-0.566131191,0.053913357,0.018431919,
ah93157,,0.1,0.12,0.154744618,0.111782148,0.050480561,0.053433207,0.407665021,0.010713757,0.730655502,0.133721679,0.460419887,-0.185714544,1.147104981,-0.82424452,1.433935664,-0.42430477,0.712637428,0.055986287,0.29310655,-0.06488406,-0.153462849,-0.076326303,0.020761504,-0.458048749,0.397806858,-0.627514915,0.078171081,0.014352662,
ah93k130,,0.107814745,0.045673773,0.125416347,0.114793514,0.034944021,0.036937326,0.434052267,0.009987519,0.521041042,0.135683987,0.333992369,0.018779657,0.511362904,0.197297601,0.058643842,0.652771485,0.211406129,0.04264977,0.095307508,0.07281273,-0.445399461,0.650317939,-1.110273701,1.037521244,-1.012336015,0.449965722,-0.377364232,-0.16211984,
ah93k131,,0.108887825,0.045949309,0.126200259,0.115937727,0.035600717,0.037435212,0.412620368,0.009946059,0.513204722,0.134586254,0.349463531,-0.02185391,0.63515085,-0.053395817,0.416834835,0.323778949,0.370929427,-0.032264976,0.10594801,0.060734964,-0.409794359,0.576874368,-1.005929615,0.929142067,-0.931507686,0.406454773,-0.361832956,-0.16565675,
ah93k132,,0.108418971,0.045768029,0.126138544,0.118880196,0.037537917,0.039426689,0.472994231,0.010032657,0.562062281,0.126162174,0.381916742,-0.101626339,0.733890114,-0.104800442,0.367178287,0.401872031,0.398074114,-0.055001188,0.118450722,0.085925875,-0.564297754,0.935636036,-1.620333527,1.682200209,-1.63672772,0.887231338,-0.628949476,-0.020791561,
ah93w145,,0.1,0.12,0.143552272,0.108653183,0.058672439,0.060807046,0.458201922,0.010384762,0.792637326,0.159622087,0.37858459,-0.004455849,0.747806699,-0.224647217,0.826765562,-0.20983681,0.521965038,0.070964414,0.33806788,-0.031276319,-0.26501908,0.245266733,-0.537416457,0.371533641,-0.389601017,0.10147545,-0.113293421,0.091528439,
ah93w174,,0.1,0.12,0.18395188,0.099729858,0.068413212,0.069973576,0.29920192,0.011082293,0.812435691,0.191684666,0.400453224,0.08937727,0.710378073,-0.09152087,0.787859075,-0.165604233,0.547142482,0.04285575,0.331568801,-0.119112368,-0.193739239,-0.010337314,-0.271913023,0.037872981,-0.205088083,-0.017582632,-0.05153793,0.104581131,
ah93w215,,0.1,0.12,0.22679175,0.092366172,0.060522562,0.062211011,0.014778677,0.012115798,0.676694098,0.242728576,0.442794078,0.095886222,0.859755992,-0.413537291,1.352924851,-0.635322188,0.93883729,-0.113073965,0.549468905,-0.199755373,-0.203419782,-0.198083016,-0.164503666,-0.299104123,0.035129742,-0.341671907,0.014700257,-0.063032682,
ah93w300,,0.1,0.12,0.1,0.12,0.163870025,0.156849517,-0.198572446,0.014053907,0.603816887,0.469729466,0.430292041,0.233755026,0.871696064,-0.390271845,1.261846133,-0.408520721,0.828598956,0.06300689,0.450288669,-0.170957511,-0.887181818,0.503056393,-1.535344508,0.87095572,-1.102054001,0.291618899,-0.34521093,0.115658561,
ah94145,,0.1,0.12,0.162452538,0.090436155,0.069310231,0.072828315,0.539403492,0.011240256,1.005043226,0.177490155,0.466401368,-0.217796734,1.344698072,-1.122166744,1.960772257,-0.821519344,0.873710425,0.089132879,0.284175562,0.133217581,-0.543043258,0.845056919,-1.240007367,1.151262658,-0.893779251,0.472707152,-0.222749176,0.214726937,
ah94156,,0.1,0.12,0.153505497,0.11603449,0.049939549,0.052243419,0.421771612,0.010632632,0.725441936,0.141828558,0.447070351,-0.186863529,1.154041077,-0.837734178,1.411532722,-0.345911595,0.621773077,0.124640076,0.213441877,0.024973636,-0.423111978,0.452145224,-0.745054886,0.295686415,-0.115747204,-0.433013932,0.085367545,0.013023571,
ah94w301,,0.1,0.12,0.356689458,0.053580856,0.169680539,0.174924045,-0.396341029,0.013699842,0.456192328,0.328839343,0.120187885,1.065738839,-0.976619225,2.314207064,-1.594305698,1.65523066,-0.303768007,3.65E-01,0.398186197,-0.878751418,0.877998557,-2.963645809,3.206808512,-4.027527819,2.591632683,-1.766528924,0.517235854,-0.119791546,
ah95160,,0.1,0.12,0.176342565,0.082799087,0.068914815,0.072681769,0.438424433,0.011545129,0.969855671,0.194908048,0.483628713,-0.204903572,1.375875113,-1.126500716,2.011430776,-0.826566657,0.89812194,0.102595693,0.287835888,0.119099572,-0.568311073,0.847061984,-1.297403053,1.182866417,-0.962810031,0.480727584,-0.210990634,0.138331162,
ames01,,0.1,0.12,0.094608058,0.153221893,0.033315397,0.034806114,0.624679434,0.008828601,0.388260587,0.158150733,0.27539223,0.043732726,0.296716353,-0.007051656,0.346049853,0.008830658,0.273692219,0.12152946,0.017261078,0.030279319,-0.360271473,0.342170189,-0.662639273,0.448003126,-0.503308754,0.118172296,-0.19266295,-0.112161039,
ames02,,0.061845445,0.099955404,0.064607571,0.162438363,0.020036548,0.022004423,0.563721936,0.008218828,0.350438928,0.164558559,0.06832777,0.194698319,-0.034997313,0.266490901,-0.042595783,0.194779774,0.056130843,0.102303304,0.003927117,0.097805323,-0.563118647,0.797312598,-1.308469794,1.155519882,-1.019871903,0.451876323,-0.255715574,-0.013655862,
ames03,,0.08228114,0.082204082,0.090694994,0.154521596,0.0279102,0.030513871,0.703705787,0.008789485,0.384551631,0.136923331,0.314184832,-0.143490059,0.624234,-0.444646664,0.727895696,-0.173580666,0.359030365,0.083210617,-0.13238779,0.022859426,-0.396200281,0.487716854,-0.907329384,0.723566742,-0.729521577,0.247778896,-0.243168199,0.010791842,
amsoil1,,0.1,0.12,0.102762428,0.130955844,0.028566249,0.029581571,0.778473537,0.009317339,0.559934532,0.212701317,0.139287971,0.219806588,0.164532106,0.239207335,0.218379972,0.220174949,0.218062603,0.179054406,0.139570141,0.039397812,-0.370705626,0.403994901,-0.749929261,0.534849957,-0.571289559,0.154141436,-0.160708629,-0.007876312,
amsoil2,,0.1,0.12,0.100020719,0.143742542,0.019890351,0.020742623,0.719477013,0.009175301,0.455947969,0.21435836,0.086881777,0.262890969,0.003725497,0.387933145,0.008669106,0.329434274,0.12114077,0.189245513,0.117040326,-0.021741155,-0.315570144,0.210540743,-0.563281592,0.276714217,-0.431418638,0.034296209,-0.146484119,-0.03315145,
apex16,,0.1,0.12,0.112135141,0.131071758,0.038485871,0.038823526,0.754287708,0.009891155,0.714297192,0.125330712,0.303565044,-0.04001192,0.662947369,-0.331870897,0.799264361,-0.112931927,0.461096435,0.228476265,0.314014515,0.068384953,-0.276470009,0.10948206,-0.511879597,0.389087114,-0.453233221,0.109467376,-0.043765569,-0.001129625,
aquilasm,,0.1,0.12,0.103544298,0.138096744,0.052520431,0.054265761,0.782016781,0.009266398,0.724244044,0.129994491,0.425668654,-0.238347508,1.086456432,-0.946122612,1.403463246,-0.683246165,0.675413315,-0.005437584,0.21228345,0.221019198,-0.596761618,1.018922461,-1.401285597,1.366745238,-1.027041664,0.528849431,-0.212448174,0.038292388,
arad10,,0.1,0.12,0.115855875,0.146698744,0.053427689,0.058964038,0.855479755,0.009639747,0.754665427,0.189355046,0.483225874,-0.423109084,1.397149178,-1.374012333,1.824630662,-0.982038931,0.849797073,-0.019873705,0.254016351,0.150766133,-0.572044468,1.06430657,-1.529452913,1.540658147,-1.155839548,0.615862927,-0.249284005,0.056148672,
